base_confidence,confidence_threshold,accuracy,correct_predictions,total_predictions
0.11,0.1,0.5571428571428572,195,350
0.12,0.1,0.5571428571428572,195,350
0.12,0.11,0.5571428571428572,195,350
0.13,0.1,0.5571428571428572,195,350
0.13,0.11,0.5571428571428572,195,350
0.13,0.12,0.5571428571428572,195,350
0.14,0.1,0.5571428571428572,195,350
0.14,0.11,0.5571428571428572,195,350
0.14,0.12,0.5571428571428572,195,350
0.14,0.13,0.5571428571428572,195,350
0.15,0.1,0.5571428571428572,195,350
0.15,0.11,0.5571428571428572,195,350
0.15,0.12,0.5571428571428572,195,350
0.15,0.13,0.5571428571428572,195,350
0.15,0.14,0.5571428571428572,195,350
0.16,0.1,0.5571428571428572,195,350
0.16,0.11,0.5571428571428572,195,350
0.16,0.12,0.5571428571428572,195,350
0.16,0.13,0.5571428571428572,195,350
0.16,0.14,0.5571428571428572,195,350
0.16,0.15,0.5571428571428572,195,350
0.17,0.1,0.5571428571428572,195,350
0.17,0.11,0.5571428571428572,195,350
0.17,0.12,0.5571428571428572,195,350
0.17,0.13,0.5571428571428572,195,350
0.17,0.14,0.5571428571428572,195,350
0.17,0.15,0.5571428571428572,195,350
0.17,0.16,0.5571428571428572,195,350
0.18,0.1,0.5571428571428572,195,350
0.18,0.11,0.5571428571428572,195,350
0.18,0.12,0.5571428571428572,195,350
0.18,0.13,0.5571428571428572,195,350
0.18,0.14,0.5571428571428572,195,350
0.18,0.15,0.5571428571428572,195,350
0.18,0.16,0.5571428571428572,195,350
0.18,0.17,0.5571428571428572,195,350
0.19,0.1,0.5571428571428572,195,350
0.19,0.11,0.5571428571428572,195,350
0.19,0.12,0.5571428571428572,195,350
0.19,0.13,0.5571428571428572,195,350
0.19,0.14,0.5571428571428572,195,350
0.19,0.15,0.5571428571428572,195,350
0.19,0.16,0.5571428571428572,195,350
0.19,0.17,0.5571428571428572,195,350
0.19,0.18,0.5571428571428572,195,350
0.2,0.1,0.5628571428571428,197,350
0.2,0.11,0.5571428571428572,195,350
0.2,0.12,0.5571428571428572,195,350
0.2,0.13,0.5571428571428572,195,350
0.2,0.14,0.5571428571428572,195,350
0.2,0.15,0.5571428571428572,195,350
0.2,0.16,0.5571428571428572,195,350
0.2,0.17,0.5571428571428572,195,350
0.2,0.18,0.5571428571428572,195,350
0.2,0.19,0.5571428571428572,195,350
0.21,0.1,0.5628571428571428,197,350
0.21,0.11,0.5571428571428572,195,350
0.21,0.12,0.5571428571428572,195,350
0.21,0.13,0.5571428571428572,195,350
0.21,0.14,0.5571428571428572,195,350
0.21,0.15,0.5571428571428572,195,350
0.21,0.16,0.5571428571428572,195,350
0.21,0.17,0.5571428571428572,195,350
0.21,0.18,0.5571428571428572,195,350
0.21,0.19,0.5571428571428572,195,350
0.21,0.2,0.5571428571428572,195,350
0.22,0.1,0.5628571428571428,197,350
0.22,0.11,0.5628571428571428,197,350
0.22,0.12,0.5628571428571428,197,350
0.22,0.13,0.5571428571428572,195,350
0.22,0.14,0.5571428571428572,195,350
0.22,0.15,0.5571428571428572,195,350
