date,open,high,low,close,volume,adjclose
2014-09-19,92.69999694824219,99.69999694824219,89.94999694824219,93.88999938964844,271879400,90.6739501953125
2014-09-22,92.69999694824219,92.94999694824219,89.5,89.88999938964844,66657800,86.81096649169922
2014-09-23,88.94000244140625,90.4800033569336,86.62000274658203,87.16999816894531,39009800,84.18412780761719
2014-09-24,88.47000122070312,90.56999969482422,87.22000122070312,90.56999969482422,32088000,87.46766662597656
2014-09-25,91.08999633789062,91.5,88.5,88.91999816894531,28598000,85.87419128417969
2014-09-26,89.7300033569336,90.45999908447266,88.66000366210938,90.45999908447266,18340000,87.36144256591797
2014-09-29,89.62000274658203,89.69999694824219,88.0199966430664,88.75,25302000,85.71000671386719
2014-09-30,89.0,90.87999725341797,88.45999908447266,88.8499984741211,24419400,85.80658721923828
2014-10-01,88.69999694824219,88.94000244140625,86.04000091552734,86.0999984741211,24029600,83.15078735351562
2014-10-02,86.2699966430664,88.19999694824219,85.61100006103516,87.05999755859375,21469700,84.0779037475586
2014-10-03,88.0999984741211,89.94000244140625,87.6500015258789,88.0999984741211,18485700,85.082275390625
2014-10-06,89.1500015258789,89.6500015258789,88.05999755859375,88.30999755859375,9268400,85.28507995605469
2014-10-07,87.94999694824219,89.69999694824219,87.05999755859375,87.66999816894531,12791700,84.66699981689453
2014-10-08,88.0,88.5,87.05999755859375,88.30000305175781,10252600,85.27542877197266
2014-10-09,88.51000213623047,90.3499984741211,88.0,88.79000091552734,21507000,85.74864196777344
2014-10-10,88.25,88.73999786376953,85.23999786376953,85.87999725341797,15431400,82.93831634521484
2014-10-13,86.8499984741211,86.88999938964844,84.91999816894531,85.12000274658203,14845000,82.20436096191406
2014-10-14,85.80999755859375,85.87999725341797,83.22000122070312,84.94999694824219,15559200,82.04016876220703
2014-10-15,84.04000091552734,86.48999786376953,82.80999755859375,85.5999984741211,16824300,82.66790771484375
2014-10-16,84.9800033569336,89.17500305175781,84.01499938964844,88.8499984741211,15232000,85.80658721923828
2014-10-17,90.4000015258789,90.9000015258789,87.66999816894531,87.91000366210938,17360700,84.89878845214844
2014-10-20,88.0,89.5,87.86000061035156,88.26000213623047,9891400,85.2367935180664
2014-10-21,89.0999984741211,92.5,88.5,90.9000015258789,23243800,87.78636932373047
2014-10-22,92.25,93.5,91.01000213623047,91.62999725341797,20364500,88.4913558959961
2014-10-23,92.91999816894531,94.69999694824219,92.81999969482422,94.44999694824219,20641000,91.21476745605469
