date,open,high,low,close,volume,adjclose,dividends
2021-01-04,351.45001220703125,352.0799865722656,340.3800048828125,349.5,4203800,328.67608642578125,0.0
2021-01-05,348.69000244140625,351.3599853515625,344.4800109863281,344.79998779296875,3160500,324.2561340332031,0.0
2021-01-06,337.1099853515625,359.489990234375,335.1099853515625,359.2699890136719,6561400,337.8639831542969,0.0
2021-01-07,358.5400085449219,366.45001220703125,357.9200134277344,365.0299987792969,3366700,343.2807922363281,0.0
2021-01-08,367.0,367.489990234375,358.760009765625,363.3900146484375,2947800,341.7384948730469,0.0
2021-01-11,362.6199951171875,364.2900085449219,359.19000244140625,360.75,2695100,339.2557678222656,0.0
2021-01-12,357.94000244140625,360.0799865722656,355.2300109863281,357.3699951171875,2372500,336.0771484375,0.0
2021-01-13,356.0400085449219,356.80999755859375,351.2300109863281,355.0400085449219,1974500,333.885986328125,0.0
2021-01-14,356.8500061035156,358.80999755859375,350.4200134277344,350.5299987792969,2919900,329.64471435546875,0.0
2021-01-15,349.1199951171875,353.04998779296875,345.739990234375,351.29998779296875,3777000,330.3687744140625,0.0
2021-01-19,356.2099914550781,356.9599914550781,351.55999755859375,352.19000244140625,3361300,331.2057800292969,0.0
2021-01-20,351.8800048828125,352.0799865722656,345.8299865722656,350.8399963378906,3036800,329.9361877441406,0.0
2021-01-21,350.80999755859375,360.8900146484375,350.739990234375,355.0,3749800,333.8483581542969,0.0
2021-01-22,353.30999755859375,354.6199951171875,347.5400085449219,347.54998779296875,2585100,326.84222412109375,0.0
2021-01-25,347.1499938964844,350.3900146484375,344.6000061035156,347.80999755859375,2506300,327.0867919921875,0.0
2021-01-26,350.510009765625,351.510009765625,342.57000732421875,343.1099853515625,2467500,322.666748046875,0.0
2021-01-27,337.0400085449219,338.0,329.010009765625,332.989990234375,4770900,313.1497802734375,0.0
2021-01-28,336.6400146484375,346.5799865722656,334.510009765625,338.1499938964844,2769900,318.0023498535156,0.0
2021-01-29,336.5299987792969,339.0199890136719,330.6300048828125,333.5799865722656,3899200,313.70458984375,0.0
2021-02-01,335.0299987792969,338.1499938964844,332.739990234375,334.0,3020200,314.0995788574219,0.0
2021-02-02,337.1000061035156,344.6400146484375,337.1000061035156,338.7200012207031,2663700,318.5383605957031,0.0
2021-02-03,338.0,340.1600036621094,334.6000061035156,337.8900146484375,2537100,317.7578430175781,0.0
2021-02-04,332.32000732421875,335.2900085449219,328.3900146484375,329.32000732421875,5962200,309.6983947753906,0.0
2021-02-05,332.1099853515625,333.4800109863281,323.4800109863281,324.510009765625,7227900,305.17498779296875,0.0
2021-02-08,327.010009765625,327.0199890136719,323.80999755859375,324.3399963378906,4758200,305.01519775390625,0.0
2021-02-09,323.8999938964844,331.0400085449219,321.7099914550781,329.6300048828125,4096900,309.989990234375,0.0
2021-02-10,332.6600036621094,335.760009765625,329.7699890136719,333.3999938964844,4122700,313.5353088378906,0.0
2021-02-11,335.0,336.6499938964844,331.5,333.07000732421875,2776700,313.2250061035156,0.0
2021-02-12,331.67999267578125,332.3999938964844,327.8800048828125,328.239990234375,2760800,308.6827697753906,0.0
2021-02-16,327.3599853515625,329.8399963378906,322.4800109863281,324.6199951171875,4339000,305.27850341796875,0.0
2021-02-17,323.4599914550781,328.6000061035156,322.239990234375,326.8599853515625,2620000,307.3850402832031,0.0
2021-02-18,325.8999938964844,329.5799865722656,325.20001220703125,328.4100036621094,2383500,308.8426818847656,0.0
2021-02-19,328.75,328.8500061035156,324.1099853515625,324.5799865722656,2313800,305.24078369140625,0.0
2021-02-22,321.5,329.04998779296875,320.3500061035156,327.6400146484375,2688300,308.1185607910156,0.0
2021-02-23,329.989990234375,333.94000244140625,326.6400146484375,329.510009765625,3225700,309.87713623046875,0.0
2021-02-24,328.489990234375,333.6000061035156,326.0400085449219,332.2099914550781,3360500,312.416259765625,0.0
2021-02-25,331.0,333.6000061035156,327.3599853515625,328.8699951171875,2780100,309.27520751953125,0.0
2021-02-26,330.54998779296875,337.9100036621094,329.8500061035156,332.2200012207031,5430000,312.4255676269531,0.0
2021-03-01,334.3599853515625,338.9100036621094,333.67999267578125,334.6499938964844,4198900,314.7109069824219,0.0
2021-03-02,335.0,337.6700134277344,333.8900146484375,334.6400146484375,2568900,314.7015075683594,0.0
2021-03-03,333.32000732421875,338.1600036621094,332.7799987792969,332.8699951171875,3039700,313.0368957519531,0.0
2021-03-04,334.1700134277344,340.8399963378906,332.6700134277344,333.80999755859375,4991600,313.9208984375,0.0
2021-03-05,335.0299987792969,348.2900085449219,335.0199890136719,347.1000061035156,4563100,326.41900634765625,0.0
2021-03-08,347.010009765625,354.0,345.6000061035156,350.1700134277344,3419900,329.3061828613281,0.0
2021-03-09,352.9200134277344,361.25,351.3399963378906,351.9800109863281,4277600,331.0083312988281,0.0
2021-03-10,353.9100036621094,354.4800109863281,348.5,349.6000061035156,3012300,328.77008056640625,0.0
2021-03-11,350.760009765625,355.9700012207031,349.8699951171875,353.1000061035156,2520500,332.0616149902344,0.0
2021-03-12,353.1700134277344,356.82000732421875,351.989990234375,356.0199890136719,2088700,335.9970703125,1.25
2021-03-15,356.9200134277344,357.94000244140625,351.54998779296875,353.8800048828125,2343400,333.97735595703125,0.0
