date,open,high,low,close,volume,adjclose,splits
2010-01-04,15.689438819885254,15.753503799438477,15.621622085571289,15.684433937072754,78169752,15.6098051071167,0.0
2010-01-05,15.695195198059082,15.711711883544922,15.554054260253906,15.615365028381348,120067812,15.541064262390137,0.0
2010-01-06,15.662161827087402,15.662161827087402,15.174174308776855,15.221721649169922,158988852,15.149293899536133,0.0
2010-01-07,15.250249862670898,15.265265464782715,14.83108139038086,14.867366790771484,256315428,14.796625137329102,0.0
2010-01-08,14.814814567565918,15.096345901489258,14.742491722106934,15.065566062927246,188783028,14.993881225585938,0.0
2010-01-11,15.126626968383789,15.126626968383789,14.865865707397461,15.042793273925781,288227484,14.971216201782227,0.0
2010-01-12,14.956206321716309,14.968969345092773,14.714715003967285,14.776777267456055,193937868,14.706465721130371,0.0
2010-01-13,14.426676750183105,14.724224090576172,14.361862182617188,14.69194221496582,259604136,14.622035026550293,0.0
2010-01-14,14.612112045288086,14.86987018585205,14.584835052490234,14.761011123657227,169434396,14.690774917602539,0.0
2010-01-15,14.848347663879395,14.853854179382324,14.46546459197998,14.514514923095703,217162620,14.445451736450195,0.0
2010-01-19,14.54454517364502,14.775275230407715,14.421671867370605,14.705204963684082,172495332,14.635234832763672,0.0
2010-01-20,14.664163589477539,14.664163589477539,14.396647453308105,14.524774551391602,129897972,14.455662727355957,0.0
2010-01-21,14.600601196289062,14.685185432434082,14.320570945739746,14.589089393615723,252055692,14.519671440124512,0.0
2010-01-22,14.126626968383789,14.279278755187988,13.38488483428955,13.76401424407959,271743984,13.698522567749023,0.0
2010-01-25,13.678427696228027,13.760761260986328,13.401150703430176,13.513513565063477,176619204,13.449213027954102,0.0
2010-01-26,13.462713241577148,13.753753662109375,13.420671463012695,13.574073791503906,174045780,13.509485244750977,0.0
2010-01-27,13.545294761657715,13.704955101013184,13.396145820617676,13.566065788269043,158417424,13.501516342163086,0.0
2010-01-28,13.625876426696777,13.688689231872559,13.278278350830078,13.370620727539062,129034836,13.307000160217285,0.0
2010-01-29,13.475726127624512,13.538288116455078,13.153403282165527,13.261761665344238,165454380,13.198659896850586,0.0
2010-02-01,13.378377914428711,13.408658981323242,13.270771026611328,13.338838577270508,89941968,13.275369644165039,0.0
2010-02-02,13.3873872756958,13.3873872756958,13.203453063964844,13.291291236877441,163684152,13.228048324584961,0.0
2010-02-03,13.22998046875,13.566065788269043,13.218969345092773,13.53403377532959,119844036,13.469635963439941,0.0
2010-02-04,13.438438415527344,13.463462829589844,13.152152061462402,13.182682991027832,134972892,13.119956970214844,0.0
2010-02-05,13.223222732543945,13.350851058959961,13.074575424194336,13.29554557800293,126113760,13.232281684875488,0.0
2010-02-08,13.325825691223145,13.56356430053711,13.301551818847656,13.350099563598633,107664228,13.286577224731445,0.0
2010-02-09,13.502001762390137,13.551801681518555,13.39013957977295,13.424424171447754,112671216,13.36054801940918,0.0
